post_id,likes,shares,comments,post_type,views,description,username,datetime
16,23,314,62,reels,3410,"""Get ready to upgrade your world! The latest advancements in AI, robotics, and virtual reality are revolutionizing the way we live and work. From smart homes to futuristic transportation, tech is changing everything - what's next? Stay ahead of the curve and join the conversation! #TechTrends #FutureIsNow""",@CodeWithDubeyji,2024-10-26 15:00:00
17,108,99,109,static image,8846,"""Get ready for a cinematic escape! From epic blockbusters to indie darlings, what's your go-to genre or favorite movie quote? Let's discuss the films that make us laugh, cry, and cheer! Share your fave flicks with me in the comments below!""",@Dark-Knight499,2024-10-05 16:00:00
18,424,99,254,carousel,17129,"""Who's ready for a flavor explosion? I just tried the most mouth-watering Korean BBQ tacos at this trendy new spot downtown. Spicy, sweet, and savory all in one bite - trust me, your taste buds will thank you! #FoodieFind #KoreanBBQ #TacoLove""",@GaneshMishra-lab,2024-10-17 16:00:00
19,127,285,60,live stream,30894,"""Get ready to level up! Discover how the latest tech advancements are revolutionizing our lives, from AI-powered robots to virtual reality experiences that blur the line between reality and fantasy. What's on your tech wish list? Share with us in the comments below!""",@foodie_lover,2024-12-30 23:00:00
20,760,33,225,live stream,8922,"""Exploring the future of tech: from AI-powered robots to blockchain revolution, how will these innovations shape our world? Share with us your thoughts on what you think the next big thing in tech is! #TechTrends #InnovationNation""",@GaneshMishra-lab,2024-11-16 05:00:00
21,934,468,119,carousel,37037,"""Get ready to groove! Discover the hidden gems, iconic classics, and emerging artists that are changing the sound of our generation. From nostalgic throwbacks to fresh new vibes, we're diving into the world of music like never before - follow along for the ultimate playlist adventure!""",@tech_guru,2024-12-22 10:00:00
22,511,474,16,video,30696,"""Just devoured the most mouth-watering Korean BBQ tacos at this hidden gem in town! The combination of spicy Gochujang sauce, crispy kimchi slaw, and tender bulgogi beef is absolute perfection. Who else needs a food coma ASAP? #foodcoma #koreanbbq #tacotuesday""",@tech_guru,2024-11-01 23:00:00
23,783,8,238,carousel,19672,"""Get lost in a world of words! Discover hidden gems, escape reality, and unleash your imagination with our curated bookshelf - from fantasy to fiction, and everything in between. Share your favorite book picks with us!""",@foodie_lover,2024-09-21 10:00:00
24,214,153,100,static image,45891,"""Get lost in a world of wonder! Discover new authors, dive into unforgettable stories & unlock the magic within the pages of our favorite books Join me on a literary journey through time & explore the infinite possibilities of words! #BookLovers #ReadingIsLife""",@tech_guru,2024-09-22 17:00:00
25,622,8,238,video,11719,"""Just danced through my childhood, sang along to my teenage heartbreaks, and lived through every life-changing moment set to melody. Music - the ultimate time machine that takes us on a journey of emotions, memories, and self-discovery #MusicLover #SoundtrackOfLife""",@CodeWithDubeyji,2024-10-15 15:00:00
26,194,217,137,carousel,40850,"""Food coma alert! Just tried the most incredible Korean BBQ and I'm already dreaming of those tender, juicy slices of bulgogi beef and spicy kimchi stew. Who else is craving something savory tonight?""",@CodeWithDubeyji,2025-01-08 18:00:00
27,536,43,146,static image,5993,"""Get ready for a cinematic rollercoaster! From blockbuster hits to indie darlings, we're counting down the top 5 movie moments that will leave you on the edge of your seat. Which ones will make the cut? Let us know in the comments!""",@Dark-Knight499,2025-01-09 23:00:00
28,932,363,293,live stream,23872,"""Get ready to sweat, cheer & compete! Join me as we dive into the world of sports - from epic comebacks to record-breaking feats. Let's get pumped up for the ultimate showdowns! #SportsFever #GameOn""",@tech_guru,2024-12-25 08:00:00
29,650,438,229,live stream,998,"""Just devoured the most divine Korean BBQ tacos at this hidden gem in town! Spicy kimchi slaw, tender bulgogi beef, and crispy rice noodles all combined to create a flavor explosion that's been on repeat for me since I tried them. Has anyone else had these? What are your go-to food spots?""",@Dark-Knight499,2024-10-20 21:00:00
30,555,107,181,live stream,15936,"""Get ready for a cinematic escape! From epic blockbusters to classic rom-coms, we're diving into the world of cinema where heroes are born, legends rise, and stories come alive. Share with us your favorite movie memories and let's get the conversation started!""",@music_fanatic,2025-01-03 08:00:00
31,476,410,88,static image,48981,"""Get ready for the ultimate adrenaline rush! Catch the most electrifying moments from around the world in our Sports Frenzy series. From record-breaking athletes to heart-stopping comebacks, we've got the inside scoop on the biggest sports stories that'll leave you on the edge of your seat!""",@GaneshMishra-lab,2024-11-02 08:00:00
32,591,264,113,carousel,48190,"""Get ready for a cinematic explosion! From classic blockbusters to indie gems, discover the most iconic movies that will take you on a rollercoaster ride of emotions, action, and adventure. What's your all-time favorite film? Share with us in the comments below! #MovieMagic #FilmLoversUnite""",@tech_guru,2024-10-03 15:00:00
33,424,35,174,live stream,638,"""Get ready to level up! Discover the latest innovations in AI, cybersecurity, and renewable energy that's changing the game for a sustainable future. From smart homes to space exploration, I'm diving into the most exciting tech trends shaping our world. Join me on this journey!""",@GaneshMishra-lab,2025-01-05 12:00:00
34,294,214,230,video,48653,"""Get ready to level up! Discover how AI, blockchain, and IoT are revolutionizing industries from healthcare to finance. Learn how these emerging tech trends can transform your future! #TechFuture #InnovationNation""",@Dark-Knight499,2024-12-11 13:00:00
35,625,25,6,reels,13004,"""Get ready for the ultimate adrenaline rush! Join me as I relive my favorite sports moments, from record-breaking touchdowns to jaw-dropping comebacks. Which team are you rooting for? Let's talk sports! #SportsFever #GameOn""",@tech_guru,2024-12-13 13:00:00
36,813,409,107,carousel,33939,"""Get ready for a cinematic escape! From epic blockbusters to timeless classics, we're counting down the top 10 most iconic movie franchises that will take you on an unforgettable journey. Which ones made the cut? Let us know in the comments!""",@foodie_lover,2024-10-02 12:00:00
37,728,344,20,carousel,32831,"""Get ready for a cinematic escape! From epic blockbusters to nostalgic classics, we're counting down our top 5 favorite movies that will transport you to new worlds, make you laugh, or leave you on the edge of your seat. Which ones made the cut? #MovieMagic #FilmLovers #MustSeeMovies""",@CodeWithDubeyji,2024-09-17 13:00:00
38,224,14,43,video,10801,"""Get ready for a slam dunk day! Catch the most epic athletes in action, heart-pumping moments, and behind-the-scenes fun. Who's your team? Join the conversation and let's get this game on!""",@tech_guru,2024-11-26 14:00:00
39,132,360,83,carousel,37988,"""Get ready to level up! Discover how AI-powered gadgets are revolutionizing the way we live, work, and play. From smart homes to futuristic transportation, explore the latest tech trends that's changing everything!""",@tech_guru,2025-01-03 23:00:00
40,401,170,195,carousel,36284,"""Get ready for a cinematic blast! From epic blockbusters to indie darlings, we're counting down the most iconic movie quotes that will leave you quoting along with us - from 'I am your father' to 'You had me at hello', what's your all-time favorite movie quote?""",@CodeWithDubeyji,2024-09-24 15:00:00
41,331,451,32,live stream,46050,"""Get ready for a cinematic explosion! Which iconic movie villain would you face off against in a battle of wits? From Jason Bourne to the Joker, who's your ultimate foe on the big screen? Share with us in the comments!""",@foodie_lover,2024-12-14 10:00:00
42,746,392,73,static image,30402,"""Get ready for a reel adventure! From blockbuster hits to indie gems, we're diving into the world of cinema. What's your favorite movie of all time? Share with us and let's get the conversation started!""",@tech_guru,2024-11-11 15:00:00
43,502,315,256,live stream,36189,"""Get lost in a world of words! Discover new authors, explore genres you never knew you needed, and escape reality with our curated book collection. Share your favorite reads with us and let's build a community of book lovers together! #BookLovers #ReadingIsLife""",@Dark-Knight499,2025-01-04 20:00:00
44,556,223,139,carousel,22224,"""Just devoured the most mouthwatering Korean BBQ tacos at this hidden gem downtown! The combination of spicy Gochujang sauce, tender beef, and crunchy kimchi slaw is absolute perfection. Who else needs a food coma? Share your favorite fusion foods in the comments below!""",@foodie_lover,2024-11-28 06:00:00
45,776,180,150,video,23590,"""Get ready to vibe with us! Discover the ultimate playlist for your next workout, study session, or cozy night in - a curated mix of energetic beats & soothing melodies that'll take you on a musical journey!""",@Dark-Knight499,2024-10-22 14:00:00
46,11,35,192,reels,38255,"""GET READY FOR THE ULTIMATE SPORTS FEVER! From thrilling championships to record-breaking records, we're counting down the most electrifying moments in sports history. Who's your all-time favorite athlete? Share with us and let's get this conversation started!""",@CodeWithDubeyji,2025-01-01 15:00:00
47,635,433,170,reels,43438,"""Get lost in the pages of a good book! Discover new worlds, meet intriguing characters, and escape reality with our curated collection of must-read novels, from classics to contemporary bestsellers - what's your favorite book to get swept away by? #BookLovers #ReadingIsLife #MustRead""",@CodeWithDubeyji,2024-11-26 10:00:00
48,679,313,277,carousel,16041,"""Get ready to level up! Discover the latest innovations in AI, blockchain, and cybersecurity that's changing the game in tech. From smart homes to self-driving cars, we're exploring the future of tech and what it means for our world #TechAdvancements #InnovationNation""",@tech_guru,2024-09-24 01:00:00
49,375,207,143,carousel,21541,"""Get lost in a world of words! Discover your new favorite book, join a book club, or revisit an old favorite. What's on your reading list this month? Share with us! #BookLovers #ReadingIsFun #NewReads""",@GaneshMishra-lab,2024-12-28 01:00:00
50,23,314,270,carousel,33257,"""Just devoured the most mouthwatering Korean BBQ tacos at my favorite food truck! Spicy Gochujang sauce, crispy kimchi slaw, and tender bulgogi beef - a flavor explosion that left me craving for more!""",@Dark-Knight499,2025-01-08 03:00:00
51,663,451,81,carousel,30453,"""Can music evoke emotions, spark memories, or transport us to another time and place? For me, it's more than just a melody - it's a connection to myself, my past, and the world around me. Share with me your favorite songs that move you, make you think, or bring back memories!""",@Dark-Knight499,2024-09-15 21:00:00
52,460,340,177,video,36230,"""Unlocking a future where tech seamlessly weaves into our daily lives! From AI-powered assistants to virtual reality escapes, the latest innovations are revolutionizing the way we live, work, and play. What's your take on the latest tech trends? Share with us in the comments!""",@foodie_lover,2024-12-28 05:00:00
53,815,238,156,carousel,28243,"""Get lost in the pages of a good book! Discover new worlds, meet fascinating characters, and escape reality with our curated list of must-read novels. From classic tales to modern thrillers, we've got you covered! What's your favorite book of all time? Share with us and let's get the conversation started!""",@music_fanatic,2024-10-21 20:00:00
54,857,383,101,video,43567,"""Get lost in the pages of a good book! What's your favorite novel that has changed your life or transported you to another world? Share with us and let's dive into a new adventure together!""",@foodie_lover,2024-11-12 15:00:00
55,389,303,255,live stream,49538,"""Get ready for a cinematic escape! From action-packed blockbusters to heartwarming rom-coms, we're counting down the top movie quotes that'll leave you laughing, crying, and quoting along with us! Which iconic line is your favorite? Share with us in the comments below!""",@Dark-Knight499,2025-01-05 03:00:00
56,195,31,155,static image,14671,"""Get lost in a world of pages and imagination! Discover new authors, explore hidden genres, and escape reality with our curated bookshelf of must-reads and hidden gems - what's your favorite book to get lost in? Share with us!""",@GaneshMishra-lab,2024-10-10 09:00:00
57,446,165,286,carousel,7435,"""Just devoured the most mouthwatering Korean BBQ tacos at my new favorite spot! Spicy, sweet, and utterly addictive - I'm already planning my next visit to try more flavors!""",@music_fanatic,2024-11-25 13:00:00
58,569,473,141,live stream,29328,"""Just devoured the most mouthwatering Korean BBQ tacos at a street food market in LA! The combination of spicy Gochujang sauce, juicy bulgogi beef, and crunchy kimchi slaw on a crispy taco shell is absolute perfection. Who else is craving international flavors tonight? #foodie #koreanfood #streetfood""",@CodeWithDubeyji,2024-10-31 14:00:00
59,608,176,11,static image,15987,"""Just when I think I've heard it all, a new melody strikes my soul! Music has this way of transporting me to another world, evoking emotions I never knew existed. What's your favorite song that takes you on an adventure? Share with us in the comments below!""",@Dark-Knight499,2024-10-23 23:00:00
60,183,485,89,video,12444,"""Get lost in a world beyond your own! Discover new favorite authors, embark on thrilling adventures, and escape reality with our curated book picks. Follow us for book recommendations, author spotlights, and reading challenges to fuel your next great read!""",@CodeWithDubeyji,2024-12-31 13:00:00
61,484,75,198,video,25571,"""Get ready for the ultimate rush! From thrilling touchdowns to record-breaking dunks, sports are the perfect way to live life on the edge. Who's your favorite team or player? Let's cheer them on together and make some unforgettable memories!""",@Dark-Knight499,2024-10-20 05:00:00
62,614,280,84,video,42408,"""Get ready to groove! What's your favorite genre? Are you a 90s boyband fan or a chill indie listener? Share with us what kind of tunes get you moving and grooving! #MusicLover #FavoriteGenre #NewMusicAlert""",@CodeWithDubeyji,2025-01-06 09:00:00
63,687,11,1,video,31214,"""Getting lost in the melodies of my childhood, rediscovering the rhythms that shaped me into who I am today. What's your favorite nostalgic song that takes you back to a simpler time? Share with me! #MusicMemories #Nostalgia""",@Dark-Knight499,2024-10-12 22:00:00
64,946,84,184,live stream,10857,"""Get ready for the ultimate showdown! From record-breaking marathons to nail-biting basketball matches, the world of sports has something for everyone. Follow along as we count down the top 5 moments that left us breathless and inspired! Who's your favorite athlete? Share with us in the comments below!""",@GaneshMishra-lab,2024-11-11 07:00:00
65,210,259,143,video,47170,"""Just devoured the most mouth-watering Korean BBQ tacos at this hidden gem in town! Spicy Korean chili flakes, tender bulgogi beef, crispy kimchi slaw... need I say more? Who's craving international flavors tonight?""",@GaneshMishra-lab,2024-12-06 17:00:00
66,614,485,27,video,28919,"""Get ready to tantalize your taste buds! I'm sharing my top-secret recipe for a mouth-watering Korean-Mexican fusion dish that will take your dinner game to the next level. Think spicy kimchi tacos, crispy bulgogi beef, and cilantro-lime rice - trust me, it's a flavor explosion you won't want to miss! #foodie #koreanmexican #fusionfood""",@Dark-Knight499,2024-11-15 01:00:00
67,428,407,260,live stream,36586,"""Confession time: I just devoured a piping hot waffle sandwich with crispy bacon, melted cheddar, and a drizzle of sweet maple syrup... and I'm still dreaming about that first bite Anyone else have a go-to brunch obsession?!""",@Dark-Knight499,2024-10-12 00:00:00
68,243,340,294,reels,29581,"""Get ready for the ultimate showdown! From record-breaking dunks to nail-biting comebacks, witness the thrill of sports like never before. Catch the latest highlights, behind-the-scenes action, and expert analysis on your favorite teams and athletes in our exclusive sports section!""",@CodeWithDubeyji,2024-11-22 06:00:00
69,290,118,286,video,21092,"""Unlocking the Future: Discover how AI, blockchain, and robotics are revolutionizing industries from healthcare to space exploration! From self-healing materials to brain-computer interfaces, get ready for a tech-savvy world that's changing everything!""",@foodie_lover,2024-12-21 04:00:00
70,961,269,283,carousel,26523,"""Get lost in the pages! Discover your new favorite novel, escape into a world of wonder, or learn something new - there's a book out there for everyone. Share with us your favorite book picks and why they're on your must-read list!""",@Dark-Knight499,2025-01-01 13:00:00
71,866,184,40,carousel,36559,"""Just devoured the most indulgent Korean BBQ tacos at my fave spot - spicy bulgogi beef, crispy kimchi slaw, cilantro lime rice...my taste buds are doing the happy dance Anyone else obsessed with fusion food?""",@GaneshMishra-lab,2024-12-18 16:00:00
72,465,60,250,static image,13118,"""Get ready to ignite your taste buds! I stumbled upon this hidden gem of a bakery that serves the most divine Korean-style milk tea buns - soft, fluffy, and dripping with sweet, creamy goodness!""",@Dark-Knight499,2024-12-14 11:00:00
73,760,80,10,carousel,10401,"""Get ready to sweat! Who's ready for the ultimate sports showdown? Join us as we count down the top 5 most epic comebacks in sports history - from David vs Goliath to underdog heroes rising to the top! #SportsObsessed #ComebackKings""",@tech_guru,2024-11-06 19:00:00
74,427,210,282,static image,23116,"""Get ready to level up! Discover how the latest advancements in AI, robotics, and virtual reality are revolutionizing industries from healthcare to entertainment. Join our conversation on the future of tech and what it means for our world!""",@music_fanatic,2024-10-06 18:00:00
75,969,374,150,reels,850,"""Get ready for the ultimate rush! What's your favorite sport to watch or play? From record-breaking athlete feats to heart-stopping comeback victories, we're diving into the world of sports. Who's your all-time champion? Share with us in the comments below!""",@GaneshMishra-lab,2025-01-07 17:00:00
76,120,443,25,reels,25882,"""Craving something sweet? I'm obsessed with this secret recipe for matcha tiramisu - a Japanese twist on the Italian classic that will satisfy your green tea cravings! Who's ready to try it out? #MatchaLove #FoodieFind #TiramisuObsessed""",@foodie_lover,2024-10-05 22:00:00
77,408,63,282,static image,16188,"""Get lost in a world of wonder! Discover your new favorite book, dive into a captivating story, or escape reality for a moment. What's on your reading list? Share with me your fave books and let's get a book club going!""",@GaneshMishra-lab,2024-09-23 04:00:00
78,182,452,248,carousel,7832,"""Just devoured the most mouthwatering Korean BBQ tacos at this hidden gem food truck! Spicy, sweet, and savory all in one incredible bite - trust me when I say you HAVE to try them!""",@CodeWithDubeyji,2024-12-06 12:00:00
79,656,356,295,static image,43798,"""Get lost in a world of wonder! Discover hidden gems, escape to far-off lands, and unleash your inner bookworm with us! Share your favorite book recommendations and let's get this literary adventure started!""",@music_fanatic,2024-12-30 10:00:00
80,698,359,191,static image,33763,"""Get ready for the ultimate rush! From record-breaking wins to heartbreaking losses, sports are all about intensity, passion, and human triumph. Join me on a journey through the highs and lows of the world's greatest athletes - who will be the next champion? #SportsFever #GameOn""",@GaneshMishra-lab,2024-10-30 03:00:00
81,228,245,282,live stream,30790,"""Get ready for the ultimate showdown! From record-breaking dunks to championship wins, witness the adrenaline-fueled moments that make sports an electrifying experience. Share your favorite sports memories with us!""",@GaneshMishra-lab,2024-10-11 16:00:00
82,11,50,264,live stream,10529,"""Get ready for the ultimate showdown! Who's ready to cheer on their favorite team as we count down the top 5 most thrilling sporting moments of all time? From record-breaking runs to jaw-dropping comebacks, we're taking a look at the most epic sports moments that will leave you breathless! Share your own favorite sports moment in the comments below!""",@foodie_lover,2024-11-01 22:00:00
83,979,485,249,video,49616,"""Get ready for a cinematic explosion! What's your go-to movie genre? Are you a rom-com fanatic, an action junkie, or a thrill-seeker? Let me know in the comments below! Share with me your favorite films that never fail to leave you on the edge of your seat or laughing out loud #MovieLovers #FilmFrenzy""",@Dark-Knight499,2024-11-18 15:00:00
84,873,480,272,carousel,36808,"""Lost in a sea of melodies, I find my escape. Music has a way of transporting me to another world, where emotions run deep and memories unfold. What's your favorite song that takes you on an unforgettable journey?""",@tech_guru,2024-11-05 17:00:00
85,454,316,250,video,45027,"""Get ready for game day! From slam dunks to record-breaking runs, the world of sports has something for everyone. Follow along as we bring you the latest news, expert analysis, and behind-the-scenes stories from your favorite teams and athletes. Who's your ultimate team spirit? Let us know in the comments!""",@tech_guru,2024-12-09 11:00:00
86,51,333,234,video,23601,"""Get ready to level up! The latest tech advancements are revolutionizing the way we live, work, and play. From AI-powered robots to virtual reality experiences, the future of tech is here and it's more exciting than ever! What's your favorite emerging tech trend? Share with us in the comments below!""",@CodeWithDubeyji,2024-12-19 18:00:00
87,349,120,282,carousel,42522,"""Get lost in a world of wonder! Discover hidden gems, escape reality, and fall in love with your new favorite book. Share with us your go-to page-turners or what's on your reading wishlist! Let's get this book club started!""",@foodie_lover,2024-11-13 23:00:00
88,825,78,116,carousel,37923,"""Indulge in the taste of paradise! Just discovered a game-changing recipe that will transport your senses to the Mediterranean - crispy falafel, creamy tzatziki sauce, and warm pita bread all come together in perfect harmony. Who's ready for a flavor explosion? #foodie #mediterranean cuisine #yum""",@foodie_lover,2025-01-04 04:00:00
89,370,380,226,carousel,8237,"""Life's not worth living without a good meal! Just devoured the most mouth-watering Korean BBQ tacos - spicy, savory, and utterly addictive. Who else needs a taste of Seoul in their lives? Share your favorite foodie finds with me!""",@tech_guru,2024-10-16 16:00:00
90,645,234,33,carousel,34445,"""Get lost in a world of wonder! Discover your new favorite book, or revisit an old friend. From fantasy to fiction, romance to mystery, there's something for everyone. Share with us your latest read and tell us what hooked you! #BookLoversUnite #ReadingIsLife""",@Dark-Knight499,2024-09-17 07:00:00
91,254,157,11,carousel,14444,"""Get lost in a world beyond your own! I'm currently obsessing over these incredible book recommendations - from magical realms to historical mysteries, there's something for everyone. What's on your reading list lately? Share with me and let's get book clubbing!""",@Dark-Knight499,2024-09-23 06:00:00
92,200,492,219,reels,12964,"""Music is life - a symphony of emotions, memories, and moments that shape us. What's your favorite song that takes you back to a specific time or place? Share with me and let's get this musical conversation started!""",@tech_guru,2024-11-25 23:00:00
93,224,189,23,static image,39343,"""Spicing up my weekend with a steaming hot plate of homemade pad thai, fresh from the wok! The combination of sweet, sour, and savory flavors has me craving for more. Who's ready to join me on this flavor adventure? #foodie #padthai #weekendvibes""",@tech_guru,2024-10-15 22:00:00
94,446,22,102,live stream,38990,"""Lost in the beat, found in the melody. Music has a way of transporting us to another world, evoking emotions we never knew existed. What's your favorite song that takes you back to a special moment in time? Share with me in the comments below! #MusicLover #SongMemories #EmotionalConnections""",@CodeWithDubeyji,2024-10-06 06:00:00
95,941,176,84,live stream,10067,"""Get ready to vibe out! What's your go-to playlist for a night in? Whether it's throwback jams or new releases, let's get the conversation started - what kind of tunes get you moving and grooving?""",@music_fanatic,2024-12-15 21:00:00
96,441,96,173,carousel,5841,"""Get ready for a cinematic explosion! What's on your watchlist? From classic rom-coms to epic blockbusters, we're counting down the top 10 most iconic movie moments that will leave you cheering, laughing, or crying. Join us as we revisit these unforgettable scenes and discover what makes them so unforgettable #MovieMagic #CinemaLovers #IconicMoments""",@CodeWithDubeyji,2024-11-19 04:00:00
97,184,148,152,reels,46044,"""Just devoured the most mouthwatering Korean BBQ tacos at this hidden gem in town! Spicy Gochujang sauce, tender bulgogi beef, crispy kimchi slaw, and a sprinkle of toasted sesame seeds all came together to create a flavor explosion that left me wanting more!""",@tech_guru,2024-12-20 06:00:00
98,582,68,283,carousel,42057,"""Get ready for the ultimate adrenaline rush! Whether you're a die-hard fan or a casual player, there's no denying the excitement that comes with watching your favorite athletes push themselves to new heights. From the thrill of a slam dunk to the agony of a missed free throw, every moment in sports is a rollercoaster ride of emotions. Join me as I count down my top 5 most unforgettable sporting moments - from historic comebacks to jaw-dropping records broken! #SportsLovers #AdrenalineJunkies""",@foodie_lover,2024-10-23 13:00:00
99,847,34,15,video,25698,"""Get ready to drool! I just tried the most mouth-watering, authentic Italian pizza at this new spot downtown. Flaky crust, gooey melted mozzarella, and a tangy kick from fresh basil - can't get enough of it!""",@CodeWithDubeyji,2024-09-26 09:00:00
100,798,236,19,video,43489,"""Get ready to sweat! Which sports are you most passionate about? From the thrill of a touchdown to the agony of defeat, we're diving into the world of sports that bring us all together - share with us your favorite teams and players in the comments below!""",@CodeWithDubeyji,2024-11-22 23:00:00
