post_id,likes,shares,comments,post_type,views,description,username,datetime,content,metadata
11,546,165,137,static image,24630,"""Get ready for a cinematic escape! From blockbuster hits to classic throwbacks, we're counting down the top 10 most iconic movie quotes that will have you quoting along in no time!""",@tech_guru,2024-09-18 13:00:00,"""Get ready for a cinematic escape! From blockbuster hits to classic throwbacks, we're counting down the top 10 most iconic movie quotes that will have you quoting along in no time!""","{""username"": ""@tech_guru"", ""datetime"": ""2024-09-18 13:00:00"", ""post_type"": ""static image"", ""post_id"": 11, ""likes"": 546, ""shares"": 165, ""comments"": 137, ""views"": 24630}"
12,346,262,280,video,24958,"""Music has the power to evoke emotions, spark memories, and bring people together. What's your favorite song that instantly transports you to another time and place? Share with us in the comments below! #MusicLovers #SoundtrackOfLife""",@GaneshMishra-lab,2024-10-10 09:00:00,"""Music has the power to evoke emotions, spark memories, and bring people together. What's your favorite song that instantly transports you to another time and place? Share with us in the comments below! #MusicLovers #SoundtrackOfLife""","{""username"": ""@GaneshMishra-lab"", ""datetime"": ""2024-10-10 09:00:00"", ""post_type"": ""video"", ""post_id"": 12, ""likes"": 346, ""shares"": 262, ""comments"": 280, ""views"": 24958}"
13,777,400,212,live stream,36964,"""Get ready to sweat! Join me as I count down my top 5 most epic athletic moments that'll leave you on the edge of your seat! From record-breaking stunts to jaw-dropping comebacks, I'm sharing the most unforgettable sports moments that still give me goosebumps!""",@foodie_lover,2024-10-21 00:00:00,"""Get ready to sweat! Join me as I count down my top 5 most epic athletic moments that'll leave you on the edge of your seat! From record-breaking stunts to jaw-dropping comebacks, I'm sharing the most unforgettable sports moments that still give me goosebumps!""","{""username"": ""@foodie_lover"", ""datetime"": ""2024-10-21 00:00:00"", ""post_type"": ""live stream"", ""post_id"": 13, ""likes"": 777, ""shares"": 400, ""comments"": 212, ""views"": 36964}"
14,474,57,49,carousel,49939,"""Get lost in a world of wonder! Discover new authors, revisit old favorites, and escape reality with our curated book recommendations. What's your favorite book of all time? Share with us and let's get the conversation started!""",@Dark-Knight499,2024-10-22 13:00:00,"""Get lost in a world of wonder! Discover new authors, revisit old favorites, and escape reality with our curated book recommendations. What's your favorite book of all time? Share with us and let's get the conversation started!""","{""username"": ""@Dark-Knight499"", ""datetime"": ""2024-10-22 13:00:00"", ""post_type"": ""carousel"", ""post_id"": 14, ""likes"": 474, ""shares"": 57, ""comments"": 49, ""views"": 49939}"
15,805,329,192,reels,2760,"""Get ready for a cinematic escape! What's your favorite movie genre? From action-packed blockbusters to heartwarming rom-coms, we want to know! Share with us your go-to movie picks and let's discuss the ultimate film showdown!""",@Dark-Knight499,2024-12-20 02:00:00,"""Get ready for a cinematic escape! What's your favorite movie genre? From action-packed blockbusters to heartwarming rom-coms, we want to know! Share with us your go-to movie picks and let's discuss the ultimate film showdown!""","{""username"": ""@Dark-Knight499"", ""datetime"": ""2024-12-20 02:00:00"", ""post_type"": ""reels"", ""post_id"": 15, ""likes"": 805, ""shares"": 329, ""comments"": 192, ""views"": 2760}"
16,23,314,62,reels,3410,"""Get ready to upgrade your world! The latest advancements in AI, robotics, and virtual reality are revolutionizing the way we live and work. From smart homes to futuristic transportation, tech is changing everything - what's next? Stay ahead of the curve and join the conversation! #TechTrends #FutureIsNow""",@CodeWithDubeyji,2024-10-26 15:00:00,"""Get ready to upgrade your world! The latest advancements in AI, robotics, and virtual reality are revolutionizing the way we live and work. From smart homes to futuristic transportation, tech is changing everything - what's next? Stay ahead of the curve and join the conversation! #TechTrends #FutureIsNow""","{""username"": ""@CodeWithDubeyji"", ""datetime"": ""2024-10-26 15:00:00"", ""post_type"": ""reels"", ""post_id"": 16, ""likes"": 23, ""shares"": 314, ""comments"": 62, ""views"": 3410}"
17,108,99,109,static image,8846,"""Get ready for a cinematic escape! From epic blockbusters to indie darlings, what's your go-to genre or favorite movie quote? Let's discuss the films that make us laugh, cry, and cheer! Share your fave flicks with me in the comments below!""",@Dark-Knight499,2024-10-05 16:00:00,"""Get ready for a cinematic escape! From epic blockbusters to indie darlings, what's your go-to genre or favorite movie quote? Let's discuss the films that make us laugh, cry, and cheer! Share your fave flicks with me in the comments below!""","{""username"": ""@Dark-Knight499"", ""datetime"": ""2024-10-05 16:00:00"", ""post_type"": ""static image"", ""post_id"": 17, ""likes"": 108, ""shares"": 99, ""comments"": 109, ""views"": 8846}"
18,424,99,254,carousel,17129,"""Who's ready for a flavor explosion? I just tried the most mouth-watering Korean BBQ tacos at this trendy new spot downtown. Spicy, sweet, and savory all in one bite - trust me, your taste buds will thank you! #FoodieFind #KoreanBBQ #TacoLove""",@GaneshMishra-lab,2024-10-17 16:00:00,"""Who's ready for a flavor explosion? I just tried the most mouth-watering Korean BBQ tacos at this trendy new spot downtown. Spicy, sweet, and savory all in one bite - trust me, your taste buds will thank you! #FoodieFind #KoreanBBQ #TacoLove""","{""username"": ""@GaneshMishra-lab"", ""datetime"": ""2024-10-17 16:00:00"", ""post_type"": ""carousel"", ""post_id"": 18, ""likes"": 424, ""shares"": 99, ""comments"": 254, ""views"": 17129}"
19,127,285,60,live stream,30894,"""Get ready to level up! Discover how the latest tech advancements are revolutionizing our lives, from AI-powered robots to virtual reality experiences that blur the line between reality and fantasy. What's on your tech wish list? Share with us in the comments below!""",@foodie_lover,2024-12-30 23:00:00,"""Get ready to level up! Discover how the latest tech advancements are revolutionizing our lives, from AI-powered robots to virtual reality experiences that blur the line between reality and fantasy. What's on your tech wish list? Share with us in the comments below!""","{""username"": ""@foodie_lover"", ""datetime"": ""2024-12-30 23:00:00"", ""post_type"": ""live stream"", ""post_id"": 19, ""likes"": 127, ""shares"": 285, ""comments"": 60, ""views"": 30894}"
20,760,33,225,live stream,8922,"""Exploring the future of tech: from AI-powered robots to blockchain revolution, how will these innovations shape our world? Share with us your thoughts on what you think the next big thing in tech is! #TechTrends #InnovationNation""",@GaneshMishra-lab,2024-11-16 05:00:00,"""Exploring the future of tech: from AI-powered robots to blockchain revolution, how will these innovations shape our world? Share with us your thoughts on what you think the next big thing in tech is! #TechTrends #InnovationNation""","{""username"": ""@GaneshMishra-lab"", ""datetime"": ""2024-11-16 05:00:00"", ""post_type"": ""live stream"", ""post_id"": 20, ""likes"": 760, ""shares"": 33, ""comments"": 225, ""views"": 8922}"
21,934,468,119,carousel,37037,"""Get ready to groove! Discover the hidden gems, iconic classics, and emerging artists that are changing the sound of our generation. From nostalgic throwbacks to fresh new vibes, we're diving into the world of music like never before - follow along for the ultimate playlist adventure!""",@tech_guru,2024-12-22 10:00:00,"""Get ready to groove! Discover the hidden gems, iconic classics, and emerging artists that are changing the sound of our generation. From nostalgic throwbacks to fresh new vibes, we're diving into the world of music like never before - follow along for the ultimate playlist adventure!""","{""username"": ""@tech_guru"", ""datetime"": ""2024-12-22 10:00:00"", ""post_type"": ""carousel"", ""post_id"": 21, ""likes"": 934, ""shares"": 468, ""comments"": 119, ""views"": 37037}"
22,511,474,16,video,30696,"""Just devoured the most mouth-watering Korean BBQ tacos at this hidden gem in town! The combination of spicy Gochujang sauce, crispy kimchi slaw, and tender bulgogi beef is absolute perfection. Who else needs a food coma ASAP? #foodcoma #koreanbbq #tacotuesday""",@tech_guru,2024-11-01 23:00:00,"""Just devoured the most mouth-watering Korean BBQ tacos at this hidden gem in town! The combination of spicy Gochujang sauce, crispy kimchi slaw, and tender bulgogi beef is absolute perfection. Who else needs a food coma ASAP? #foodcoma #koreanbbq #tacotuesday""","{""username"": ""@tech_guru"", ""datetime"": ""2024-11-01 23:00:00"", ""post_type"": ""video"", ""post_id"": 22, ""likes"": 511, ""shares"": 474, ""comments"": 16, ""views"": 30696}"
23,783,8,238,carousel,19672,"""Get lost in a world of words! Discover hidden gems, escape reality, and unleash your imagination with our curated bookshelf - from fantasy to fiction, and everything in between. Share your favorite book picks with us!""",@foodie_lover,2024-09-21 10:00:00,"""Get lost in a world of words! Discover hidden gems, escape reality, and unleash your imagination with our curated bookshelf - from fantasy to fiction, and everything in between. Share your favorite book picks with us!""","{""username"": ""@foodie_lover"", ""datetime"": ""2024-09-21 10:00:00"", ""post_type"": ""carousel"", ""post_id"": 23, ""likes"": 783, ""shares"": 8, ""comments"": 238, ""views"": 19672}"
24,214,153,100,static image,45891,"""Get lost in a world of wonder! Discover new authors, dive into unforgettable stories & unlock the magic within the pages of our favorite books Join me on a literary journey through time & explore the infinite possibilities of words! #BookLovers #ReadingIsLife""",@tech_guru,2024-09-22 17:00:00,"""Get lost in a world of wonder! Discover new authors, dive into unforgettable stories & unlock the magic within the pages of our favorite books Join me on a literary journey through time & explore the infinite possibilities of words! #BookLovers #ReadingIsLife""","{""username"": ""@tech_guru"", ""datetime"": ""2024-09-22 17:00:00"", ""post_type"": ""static image"", ""post_id"": 24, ""likes"": 214, ""shares"": 153, ""comments"": 100, ""views"": 45891}"
25,622,8,238,video,11719,"""Just danced through my childhood, sang along to my teenage heartbreaks, and lived through every life-changing moment set to melody. Music - the ultimate time machine that takes us on a journey of emotions, memories, and self-discovery #MusicLover #SoundtrackOfLife""",@CodeWithDubeyji,2024-10-15 15:00:00,"""Just danced through my childhood, sang along to my teenage heartbreaks, and lived through every life-changing moment set to melody. Music - the ultimate time machine that takes us on a journey of emotions, memories, and self-discovery #MusicLover #SoundtrackOfLife""","{""username"": ""@CodeWithDubeyji"", ""datetime"": ""2024-10-15 15:00:00"", ""post_type"": ""video"", ""post_id"": 25, ""likes"": 622, ""shares"": 8, ""comments"": 238, ""views"": 11719}"
26,194,217,137,carousel,40850,"""Food coma alert! Just tried the most incredible Korean BBQ and I'm already dreaming of those tender, juicy slices of bulgogi beef and spicy kimchi stew. Who else is craving something savory tonight?""",@CodeWithDubeyji,2025-01-08 18:00:00,"""Food coma alert! Just tried the most incredible Korean BBQ and I'm already dreaming of those tender, juicy slices of bulgogi beef and spicy kimchi stew. Who else is craving something savory tonight?""","{""username"": ""@CodeWithDubeyji"", ""datetime"": ""2025-01-08 18:00:00"", ""post_type"": ""carousel"", ""post_id"": 26, ""likes"": 194, ""shares"": 217, ""comments"": 137, ""views"": 40850}"
27,536,43,146,static image,5993,"""Get ready for a cinematic rollercoaster! From blockbuster hits to indie darlings, we're counting down the top 5 movie moments that will leave you on the edge of your seat. Which ones will make the cut? Let us know in the comments!""",@Dark-Knight499,2025-01-09 23:00:00,"""Get ready for a cinematic rollercoaster! From blockbuster hits to indie darlings, we're counting down the top 5 movie moments that will leave you on the edge of your seat. Which ones will make the cut? Let us know in the comments!""","{""username"": ""@Dark-Knight499"", ""datetime"": ""2025-01-09 23:00:00"", ""post_type"": ""static image"", ""post_id"": 27, ""likes"": 536, ""shares"": 43, ""comments"": 146, ""views"": 5993}"
28,932,363,293,live stream,23872,"""Get ready to sweat, cheer & compete! Join me as we dive into the world of sports - from epic comebacks to record-breaking feats. Let's get pumped up for the ultimate showdowns! #SportsFever #GameOn""",@tech_guru,2024-12-25 08:00:00,"""Get ready to sweat, cheer & compete! Join me as we dive into the world of sports - from epic comebacks to record-breaking feats. Let's get pumped up for the ultimate showdowns! #SportsFever #GameOn""","{""username"": ""@tech_guru"", ""datetime"": ""2024-12-25 08:00:00"", ""post_type"": ""live stream"", ""post_id"": 28, ""likes"": 932, ""shares"": 363, ""comments"": 293, ""views"": 23872}"
29,650,438,229,live stream,998,"""Just devoured the most divine Korean BBQ tacos at this hidden gem in town! Spicy kimchi slaw, tender bulgogi beef, and crispy rice noodles all combined to create a flavor explosion that's been on repeat for me since I tried them. Has anyone else had these? What are your go-to food spots?""",@Dark-Knight499,2024-10-20 21:00:00,"""Just devoured the most divine Korean BBQ tacos at this hidden gem in town! Spicy kimchi slaw, tender bulgogi beef, and crispy rice noodles all combined to create a flavor explosion that's been on repeat for me since I tried them. Has anyone else had these? What are your go-to food spots?""","{""username"": ""@Dark-Knight499"", ""datetime"": ""2024-10-20 21:00:00"", ""post_type"": ""live stream"", ""post_id"": 29, ""likes"": 650, ""shares"": 438, ""comments"": 229, ""views"": 998}"
30,555,107,181,live stream,15936,"""Get ready for a cinematic escape! From epic blockbusters to classic rom-coms, we're diving into the world of cinema where heroes are born, legends rise, and stories come alive. Share with us your favorite movie memories and let's get the conversation started!""",@music_fanatic,2025-01-03 08:00:00,"""Get ready for a cinematic escape! From epic blockbusters to classic rom-coms, we're diving into the world of cinema where heroes are born, legends rise, and stories come alive. Share with us your favorite movie memories and let's get the conversation started!""","{""username"": ""@music_fanatic"", ""datetime"": ""2025-01-03 08:00:00"", ""post_type"": ""live stream"", ""post_id"": 30, ""likes"": 555, ""shares"": 107, ""comments"": 181, ""views"": 15936}"
31,476,410,88,static image,48981,"""Get ready for the ultimate adrenaline rush! Catch the most electrifying moments from around the world in our Sports Frenzy series. From record-breaking athletes to heart-stopping comebacks, we've got the inside scoop on the biggest sports stories that'll leave you on the edge of your seat!""",@GaneshMishra-lab,2024-11-02 08:00:00,"""Get ready for the ultimate adrenaline rush! Catch the most electrifying moments from around the world in our Sports Frenzy series. From record-breaking athletes to heart-stopping comebacks, we've got the inside scoop on the biggest sports stories that'll leave you on the edge of your seat!""","{""username"": ""@GaneshMishra-lab"", ""datetime"": ""2024-11-02 08:00:00"", ""post_type"": ""static image"", ""post_id"": 31, ""likes"": 476, ""shares"": 410, ""comments"": 88, ""views"": 48981}"
32,591,264,113,carousel,48190,"""Get ready for a cinematic explosion! From classic blockbusters to indie gems, discover the most iconic movies that will take you on a rollercoaster ride of emotions, action, and adventure. What's your all-time favorite film? Share with us in the comments below! #MovieMagic #FilmLoversUnite""",@tech_guru,2024-10-03 15:00:00,"""Get ready for a cinematic explosion! From classic blockbusters to indie gems, discover the most iconic movies that will take you on a rollercoaster ride of emotions, action, and adventure. What's your all-time favorite film? Share with us in the comments below! #MovieMagic #FilmLoversUnite""","{""username"": ""@tech_guru"", ""datetime"": ""2024-10-03 15:00:00"", ""post_type"": ""carousel"", ""post_id"": 32, ""likes"": 591, ""shares"": 264, ""comments"": 113, ""views"": 48190}"
33,424,35,174,live stream,638,"""Get ready to level up! Discover the latest innovations in AI, cybersecurity, and renewable energy that's changing the game for a sustainable future. From smart homes to space exploration, I'm diving into the most exciting tech trends shaping our world. Join me on this journey!""",@GaneshMishra-lab,2025-01-05 12:00:00,"""Get ready to level up! Discover the latest innovations in AI, cybersecurity, and renewable energy that's changing the game for a sustainable future. From smart homes to space exploration, I'm diving into the most exciting tech trends shaping our world. Join me on this journey!""","{""username"": ""@GaneshMishra-lab"", ""datetime"": ""2025-01-05 12:00:00"", ""post_type"": ""live stream"", ""post_id"": 33, ""likes"": 424, ""shares"": 35, ""comments"": 174, ""views"": 638}"
34,294,214,230,video,48653,"""Get ready to level up! Discover how AI, blockchain, and IoT are revolutionizing industries from healthcare to finance. Learn how these emerging tech trends can transform your future! #TechFuture #InnovationNation""",@Dark-Knight499,2024-12-11 13:00:00,"""Get ready to level up! Discover how AI, blockchain, and IoT are revolutionizing industries from healthcare to finance. Learn how these emerging tech trends can transform your future! #TechFuture #InnovationNation""","{""username"": ""@Dark-Knight499"", ""datetime"": ""2024-12-11 13:00:00"", ""post_type"": ""video"", ""post_id"": 34, ""likes"": 294, ""shares"": 214, ""comments"": 230, ""views"": 48653}"
35,625,25,6,reels,13004,"""Get ready for the ultimate adrenaline rush! Join me as I relive my favorite sports moments, from record-breaking touchdowns to jaw-dropping comebacks. Which team are you rooting for? Let's talk sports! #SportsFever #GameOn""",@tech_guru,2024-12-13 13:00:00,"""Get ready for the ultimate adrenaline rush! Join me as I relive my favorite sports moments, from record-breaking touchdowns to jaw-dropping comebacks. Which team are you rooting for? Let's talk sports! #SportsFever #GameOn""","{""username"": ""@tech_guru"", ""datetime"": ""2024-12-13 13:00:00"", ""post_type"": ""reels"", ""post_id"": 35, ""likes"": 625, ""shares"": 25, ""comments"": 6, ""views"": 13004}"
36,813,409,107,carousel,33939,"""Get ready for a cinematic escape! From epic blockbusters to timeless classics, we're counting down the top 10 most iconic movie franchises that will take you on an unforgettable journey. Which ones made the cut? Let us know in the comments!""",@foodie_lover,2024-10-02 12:00:00,"""Get ready for a cinematic escape! From epic blockbusters to timeless classics, we're counting down the top 10 most iconic movie franchises that will take you on an unforgettable journey. Which ones made the cut? Let us know in the comments!""","{""username"": ""@foodie_lover"", ""datetime"": ""2024-10-02 12:00:00"", ""post_type"": ""carousel"", ""post_id"": 36, ""likes"": 813, ""shares"": 409, ""comments"": 107, ""views"": 33939}"
37,728,344,20,carousel,32831,"""Get ready for a cinematic escape! From epic blockbusters to nostalgic classics, we're counting down our top 5 favorite movies that will transport you to new worlds, make you laugh, or leave you on the edge of your seat. Which ones made the cut? #MovieMagic #FilmLovers #MustSeeMovies""",@CodeWithDubeyji,2024-09-17 13:00:00,"""Get ready for a cinematic escape! From epic blockbusters to nostalgic classics, we're counting down our top 5 favorite movies that will transport you to new worlds, make you laugh, or leave you on the edge of your seat. Which ones made the cut? #MovieMagic #FilmLovers #MustSeeMovies""","{""username"": ""@CodeWithDubeyji"", ""datetime"": ""2024-09-17 13:00:00"", ""post_type"": ""carousel"", ""post_id"": 37, ""likes"": 728, ""shares"": 344, ""comments"": 20, ""views"": 32831}"
38,224,14,43,video,10801,"""Get ready for a slam dunk day! Catch the most epic athletes in action, heart-pumping moments, and behind-the-scenes fun. Who's your team? Join the conversation and let's get this game on!""",@tech_guru,2024-11-26 14:00:00,"""Get ready for a slam dunk day! Catch the most epic athletes in action, heart-pumping moments, and behind-the-scenes fun. Who's your team? Join the conversation and let's get this game on!""","{""username"": ""@tech_guru"", ""datetime"": ""2024-11-26 14:00:00"", ""post_type"": ""video"", ""post_id"": 38, ""likes"": 224, ""shares"": 14, ""comments"": 43, ""views"": 10801}"
39,132,360,83,carousel,37988,"""Get ready to level up! Discover how AI-powered gadgets are revolutionizing the way we live, work, and play. From smart homes to futuristic transportation, explore the latest tech trends that's changing everything!""",@tech_guru,2025-01-03 23:00:00,"""Get ready to level up! Discover how AI-powered gadgets are revolutionizing the way we live, work, and play. From smart homes to futuristic transportation, explore the latest tech trends that's changing everything!""","{""username"": ""@tech_guru"", ""datetime"": ""2025-01-03 23:00:00"", ""post_type"": ""carousel"", ""post_id"": 39, ""likes"": 132, ""shares"": 360, ""comments"": 83, ""views"": 37988}"
40,401,170,195,carousel,36284,"""Get ready for a cinematic blast! From epic blockbusters to indie darlings, we're counting down the most iconic movie quotes that will leave you quoting along with us - from 'I am your father' to 'You had me at hello', what's your all-time favorite movie quote?""",@CodeWithDubeyji,2024-09-24 15:00:00,"""Get ready for a cinematic blast! From epic blockbusters to indie darlings, we're counting down the most iconic movie quotes that will leave you quoting along with us - from 'I am your father' to 'You had me at hello', what's your all-time favorite movie quote?""","{""username"": ""@CodeWithDubeyji"", ""datetime"": ""2024-09-24 15:00:00"", ""post_type"": ""carousel"", ""post_id"": 40, ""likes"": 401, ""shares"": 170, ""comments"": 195, ""views"": 36284}"
41,331,451,32,live stream,46050,"""Get ready for a cinematic explosion! Which iconic movie villain would you face off against in a battle of wits? From Jason Bourne to the Joker, who's your ultimate foe on the big screen? Share with us in the comments!""",@foodie_lover,2024-12-14 10:00:00,"""Get ready for a cinematic explosion! Which iconic movie villain would you face off against in a battle of wits? From Jason Bourne to the Joker, who's your ultimate foe on the big screen? Share with us in the comments!""","{""username"": ""@foodie_lover"", ""datetime"": ""2024-12-14 10:00:00"", ""post_type"": ""live stream"", ""post_id"": 41, ""likes"": 331, ""shares"": 451, ""comments"": 32, ""views"": 46050}"
42,746,392,73,static image,30402,"""Get ready for a reel adventure! From blockbuster hits to indie gems, we're diving into the world of cinema. What's your favorite movie of all time? Share with us and let's get the conversation started!""",@tech_guru,2024-11-11 15:00:00,"""Get ready for a reel adventure! From blockbuster hits to indie gems, we're diving into the world of cinema. What's your favorite movie of all time? Share with us and let's get the conversation started!""","{""username"": ""@tech_guru"", ""datetime"": ""2024-11-11 15:00:00"", ""post_type"": ""static image"", ""post_id"": 42, ""likes"": 746, ""shares"": 392, ""comments"": 73, ""views"": 30402}"
43,502,315,256,live stream,36189,"""Get lost in a world of words! Discover new authors, explore genres you never knew you needed, and escape reality with our curated book collection. Share your favorite reads with us and let's build a community of book lovers together! #BookLovers #ReadingIsLife""",@Dark-Knight499,2025-01-04 20:00:00,"""Get lost in a world of words! Discover new authors, explore genres you never knew you needed, and escape reality with our curated book collection. Share your favorite reads with us and let's build a community of book lovers together! #BookLovers #ReadingIsLife""","{""username"": ""@Dark-Knight499"", ""datetime"": ""2025-01-04 20:00:00"", ""post_type"": ""live stream"", ""post_id"": 43, ""likes"": 502, ""shares"": 315, ""comments"": 256, ""views"": 36189}"
44,556,223,139,carousel,22224,"""Just devoured the most mouthwatering Korean BBQ tacos at this hidden gem downtown! The combination of spicy Gochujang sauce, tender beef, and crunchy kimchi slaw is absolute perfection. Who else needs a food coma? Share your favorite fusion foods in the comments below!""",@foodie_lover,2024-11-28 06:00:00,"""Just devoured the most mouthwatering Korean BBQ tacos at this hidden gem downtown! The combination of spicy Gochujang sauce, tender beef, and crunchy kimchi slaw is absolute perfection. Who else needs a food coma? Share your favorite fusion foods in the comments below!""","{""username"": ""@foodie_lover"", ""datetime"": ""2024-11-28 06:00:00"", ""post_type"": ""carousel"", ""post_id"": 44, ""likes"": 556, ""shares"": 223, ""comments"": 139, ""views"": 22224}"
